,created_at, Monitor ID, Location ID, SO2(ppm),NO2,O3,CO,SO2,Temperature,RH,Pressure
225,2021-10-23 15:29:00,1,1,0.1,0.0,0.0,8.333,41.278,33.442,32.249,950.185
226,2021-10-23 15:30:00,1,1,0.1,0.0,0.0,8.5,42.278,33.444,32.459,950.162
227,2021-10-23 15:31:00,1,1,0.1,0.0,0.0,9.294,43.471,33.462,32.601,950.147
228,2021-10-23 15:32:00,1,1,0.1,0.0,0.0,9.0,42.111,33.492,32.581,950.123
229,2021-10-23 15:33:00,1,1,0.1,0.0,0.0,8.167,40.833,33.461,32.349,950.137
230,2021-10-23 15:34:00,1,1,0.1,0.0,0.0,7.684,39.263,33.371,32.354,950.112
231,2021-10-23 15:35:00,1,1,0.1,0.0,0.0,8.0,40.889,33.248,32.65,950.092
232,2021-10-23 15:36:00,1,1,0.1,0.0,0.0,7.778,39.444,33.146,32.631,950.072
233,2021-10-23 15:37:00,1,1,0.1,0.0,0.0,7.444,38.722,33.034,32.746,950.072
234,2021-10-23 15:38:00,1,1,0.1,0.0,0.0,8.111,39.056,33.085,32.832,950.064
235,2021-10-23 15:39:00,1,1,0.1,0.0,0.0,10.611,48.944,33.128,33.002,950.069
236,2021-10-23 15:40:00,1,1,0.1,0.0,0.0,9.667,43.667,33.146,32.906,950.06
237,2021-10-23 15:41:00,1,1,0.1,0.0,0.0,8.167,38.611,33.074,32.733,950.074
238,2021-10-23 15:42:00,1,1,0.1,0.0,0.0,7.278,36.611,33.018,32.934,950.083
239,2021-10-23 15:43:00,1,1,0.0,0.0,0.0,7.278,37.111,32.985,33.059,950.103
240,2021-10-23 15:44:00,1,1,0.1,0.0,0.0,7.611,37.389,32.98,32.634,950.105
241,2021-10-23 15:45:00,1,1,0.1,0.0,0.0,7.5,37.333,32.979,32.761,950.127
242,2021-10-23 15:46:00,1,1,0.1,0.0,0.0,7.833,38.389,32.938,33.077,950.142
243,2021-10-23 15:47:00,1,1,0.1,0.0,0.0,9.944,45.556,32.984,33.425,950.14
244,2021-10-23 15:48:00,1,1,0.1,0.0,0.0,8.833,40.222,33.006,33.204,950.126
245,2021-10-23 15:49:00,1,1,0.1,0.0,0.0,7.667,37.333,33.01,33.346,950.148
246,2021-10-23 15:50:00,1,1,0.0,0.0,0.0,7.0,36.0,32.956,33.167,950.154
247,2021-10-23 15:51:00,1,1,0.1,0.0,0.0,7.0,35.389,32.901,33.329,950.134
248,2021-10-23 15:52:00,1,1,0.1,0.0,0.0,7.0,35.667,32.875,33.593,950.122
249,2021-10-23 15:53:00,1,1,0.1,0.0,0.0,7.211,35.842,32.815,33.388,950.101
250,2021-10-23 15:54:00,1,1,0.1,0.0,0.0,7.056,35.5,32.801,33.305,950.076
251,2021-10-23 15:55:00,1,1,0.0,0.0,0.0,7.333,36.111,32.818,33.441,950.071
252,2021-10-23 15:56:00,1,1,0.0,0.0,0.0,8.389,39.056,32.812,33.361,950.052
253,2021-10-23 15:57:00,1,1,0.0,0.0,0.0,8.222,37.111,32.79,33.453,950.06
254,2021-10-23 15:58:00,1,1,0.0,0.0,0.0,7.722,35.667,32.803,33.629,950.055
255,2021-10-23 15:59:00,1,1,0.0,0.0,0.0,7.278,35.722,32.816,33.747,950.061
256,2021-10-23 16:00:00,1,1,0.0,0.0,0.0,7.444,36.167,32.709,33.593,949.964
257,2021-10-23 16:01:00,1,1,0.0,0.0,0.0,9.789,44.842,32.705,34.323,949.58
258,2021-10-23 16:02:00,1,1,0.0,0.0,0.0,11.316,49.526,32.819,34.546,949.154
259,2021-10-23 16:03:00,1,1,0.0,0.0,0.0,11.611,50.667,32.979,33.808,948.846
260,2021-10-23 16:04:00,1,1,0.1,0.0,0.0,10.667,45.889,33.004,33.659,949.45
261,2021-10-23 16:05:00,1,1,0.0,0.0,0.0,10.158,45.895,33.258,33.675,949.663
262,2021-10-23 16:06:00,1,1,0.0,0.0,0.0,10.056,45.667,33.388,33.522,949.313
263,2021-10-23 16:07:00,1,1,0.0,0.0,0.0,12.111,52.722,33.45,33.386,948.821
264,2021-10-23 16:08:00,1,1,0.0,0.0,0.0,12.368,47.842,33.234,33.269,948.109
265,2021-10-23 16:09:00,1,1,0.0,0.0,0.0,10.316,41.737,32.919,33.384,947.828
266,2021-10-23 16:10:00,1,1,0.1,0.0,0.0,10.333,44.222,32.939,33.556,947.837
267,2021-10-23 16:11:00,1,1,0.0,0.0,0.0,10.789,45.737,33.046,33.211,947.268
268,2021-10-23 16:12:00,1,1,0.0,0.0,0.0,10.211,42.895,32.914,33.365,946.474
269,2021-10-23 16:13:00,1,1,0.0,0.0,0.0,9.222,40.5,32.944,34.03,945.919
270,2021-10-23 16:14:00,1,1,0.0,0.0,0.0,8.222,39.167,32.915,33.584,946.306
